,Data,Loja,Marca,Produto,Preço (R$)
11,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion RGB, 8GB, 3200MHz, Red, GAOSR48GB3200C16BSC",479.9
12,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion RGB, 8GB, 3200MHz, Gray, GAOSG48GB3200C16BSC",489.9
13,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion RGB, 8GB, 3200MHz, Gray, GAOSG48GB3200C22SC",489.9
14,2026-03-28,Kabum,Lexar,"Memória Lexar, 8GB, 2666MHz, DDR4, CL19 - LD4AU008G-R2666U",496.92
15,2026-03-28,Kabum,Outra/Genérica,Memória Ddr4 8GB 3200mhz Sodimm Sk Hynix,499
16,2026-03-28,Kabum,Adata,"Memória ADATA 8GB, 3200MHz, DDR4 - AD4U32008G22 SGN",499
17,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion RGB, Edição AMD, 8GB, 3600MHz, Red, GAOSR48GB3600C18BSC",499.99
18,2026-03-28,Terabyte,PCYes,"Memória DDR4 PCYes, RGB, 8GB, 3200MHz, Branco, PM083200D4WR",499.99
19,2026-03-28,Terabyte,PCYes,"Memória DDR4 PCYes, RGB, 8GB, 3200MHz, Preto, PM083200D4BR",499.99
20,2026-03-28,Kabum,Kingston,"Memória Kingston, 8GB, 2666MHz, DDR4, CL19 - KVR26N19S8/8",508.5
21,2026-03-28,Kabum,XPG,"Memória RAM XPG Spectrix D50 RGB, 8GB, 3200MHz, DDR4, CL16, Cinza - AX4U32008G16A-ST50",508.99
22,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion RGB, Edição AMD, 8GB, 3600MHz, Gray, GAOSG48GB3600C18BSC",509.9
23,2026-03-28,Kabum,Kingston,"Memória RAM Kingston, 8GB, 2400MHz, DDR4, CL17 - KVR24N17S8/8",516.06
24,2026-03-28,Kabum,Hiksemi,"Memória Ddr4 Hiksemi Armor White, 8GB, 3200mhz, Branco - Hsc408u32e2 8g",522.7
25,2026-03-28,Kabum,Kingston,"Memória Kingston, 8GB, 3200MHz, DDR4, CL22 - KVR32N22S6/8",524.8
26,2026-03-28,Kabum,Kingston,Memoria   8GB Kingston Ddr4 3200mhz Kvr32n22s8/8,527.04
27,2026-03-28,Kabum,Kingston,Memoria   8gb Kingston Ddr4 2666mhz - Kvr26n19s8/8.,527.04
28,2026-03-28,Terabyte,Hiksemi,"Memória DDR4 Hiksemi Armor U10, 8GB, 3200Mhz, Branco",529.9
29,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion, 8GB, 3200MHz, Red, GAOR48GB3200C16BSC",529.9
30,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion, 8GB 3000MHz, Vermelho, GAOR48GB3000C16ASC",529.9
31,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion, 8GB 3600MHz, Red, GAOR48GB3600C18BSC",529.9
32,2026-03-28,Kabum,Kingston,Memoria Kingston 8GB Ddr4 3200mhz Low Profile Kvr32n22s8l/8wp,533
33,2026-03-28,Kabum,Rise Mode,"Memória RAM Rise Mode Z, 8GB, 3200MHz, DDR4, CL19, Branco - RM-D4-8G-3200ZW",534.99
34,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion, 8GB 3600MHz, Gray, GAOG48GB3600C18BSC",539.9
35,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion, 8GB, 3200MHz, Gray, GAOG48GB3200C16BSC",539.9
36,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion, 8GB 3000MHz, Gray, GAOG48GB3000C16ASC",539.9
37,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil SuperFrame, 8GB, 3200MHz, Gray, SFGAOG48GB3200C22BSC",539.9
38,2026-03-28,Kabum,Kingston,"Memoria RAM Kingston Fury  Beast, 8GB, 3200MT/s, DDR4, CL16, DIMM, Preto - KF432C16BB/8WP",539.99
39,2026-03-28,Kabum,Kingston,"Memória RAM Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8",539.99
40,2026-03-28,Kabum,Kingston,"Memória Kingston SODIMM, 8GB, 3200MHz, DDR4, 1.2V - KVR32S22S6/8",541.2
41,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Gammix D20, 8GB, 3200MHz, Black, AX4U32008G16A-CBK20",549.99
42,2026-03-28,Kabum,Rise Mode,"Memória RAM Gamer Rise Mode Venon, ARGB, 8GB, 3200Mhz, DDR4, CL19, Preto - RM-D4-8G-3200-RGB",549.99
43,2026-03-28,Kabum,Kingston,Memoria Kingston 8GB Ddr4 3200mhz Kvr32n22s8/8wp,553.42
44,2026-03-28,Kabum,Adata,"Memória RAM Adata XPG, 8GB, 2666MHz, DDR4, CL19, Verde - AD4U26668G19-SGN",559.9
45,2026-03-28,Terabyte,PCYes,"Memória DDR4 PCYes, 8GB, 3200MHz, Branco, PM083200D4W",559.99
46,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance LPX, 8GB, 3200MHz, Preto, CMK8GX4M1E3200C16",569.9
47,2026-03-28,Kabum,Netac,Memória Ram Netac Shadow Ii C18 Black 8GB Ddr4 3600u - Ntswd4p36sp-08k,570.72
48,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast, RGB, 8GB, 3200MHz, Black, KF432C16BB2A/8",579.9
49,2026-03-28,Kabum,Outra/Genérica,"Memória Up Gamer Ddr4 8GB, 3200mhz, PC4-25600 -  Up3200",586.29
50,2026-03-28,Terabyte,Geil,"Memória DDR4 Geil Orion RGB, 8GB, 3000MHz, Gray, GAOSG48GB3000C16ASC",589.9
51,2026-03-28,Terabyte,SuperFrame,"Memória DDR4 SuperFrame RGB, 8GB, 3200MHz, Gray",592.99
52,2026-03-28,Kabum,Outra/Genérica,Gpu Gt 1030 4gb GDDR4 64bit Single Fan Low Profile - Pagt10304gbg4lp,599.9
53,2026-03-28,Kabum,XPG,"Memória RAM XPG Spectrix D50 RGB, 8GB, 3200MHz, DDR4, CL16, Branco - AX4U32008G16A-SW50",599.99
54,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance LPX, 8GB 2666MHz, CMK8GX4M1A2666C16",619.9
55,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG GAMMIX D35, 8GB, 3200MHz, White, AX4U32008G16A-SWHD35",619.9
56,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB Pro, 8GB, 3200MHz, Black, CMW8GX4M1E3200C16",619.99
57,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D35G, RGB, 8GB, 3200MHz, White, AX4U32008G16A-SWHD35G",619.99
58,2026-03-28,Terabyte,XPG,"Memória DDR4 XPG Spectrix D35G, RGB, 8GB, 3200MHz, Black, AX4U32008G16A-SBKD35G",619.99
